Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_52081-102590,252891,NG (Natural Gas),6.8,3.0,8.037
ID_52082-102591,252891,NG (Natural Gas),6.8,3.0,8.037
ID_52083-102592,261331,NG (Natural Gas),6.8,3.0,8.037
ID_52085-102593,252891,NG (Natural Gas),12.4,5.48,8.037
ID_52086-102594,261331,NG (Natural Gas),13.6,6.01,8.037
ID_52096-102595,252891,NG (Natural Gas),42.8,18.9,8.037
ID_52099-102596,261001,BIO,16.0,5.48,13.5
ID_52104-102597,252891,NG (Natural Gas),12.4,5.48,8.037
ID_52107-102598,252891,NG (Natural Gas),48.8,21.55,8.037
ID_52109-102599,211211,NG (Natural Gas),155.6,68.73,8.037
ID_52115-102600,230601,NG (Natural Gas),2.8,1.24,8.037
ID_52147-102604,285491,NG (Natural Gas),28.0,12.37,8.037
ID_52158-102605,211211,GEO,25.0,2.74,9.54
ID_52169-102674,252891,NG (Natural Gas),234.0,103.36,8.037
ID_52186-102675,201361,NG (Natural Gas),49.0,21.64,8.037
ID_52204-102676,285491,BIO,10.1,3.46,13.5
ID_535-102679,201361,NG (Natural Gas),77.0,34.01,8.037
ID_54015-102681,280991,BIO,11.7,4.01,13.5
ID_54038-102683,400041,GEO,21.6,2.37,9.54
ID_54111-102684,286671,GEO,80.0,8.78,9.54
ID_54219-102685,133661,BIO,11.4,3.91,13.5
ID_54238-102686,230601,BIO,54.0,18.51,13.5
ID_54296-102689,256751,NG (Natural Gas),2.2,0.97,8.037
ID_54327-102703,252891,BIO,3.6,1.23,13.5
ID_54337-102704,285491,NG (Natural Gas),1.6,0.71,8.037
ID_54371-102706,252891,NG (Natural Gas),42.2,18.64,8.037
ID_54410-102707,252891,NG (Natural Gas),27.7,12.24,8.037
ID_54447-102708,252891,NG (Natural Gas),5.0,2.21,8.037
ID_54449-102709,261331,NG (Natural Gas),6.0,2.65,8.037
ID_54451-102710,253751,NG (Natural Gas),58.5,25.84,8.037
ID_54451-102711,253751,NG (Natural Gas),10.0,4.42,8.037
ID_54468-102751,300011,BIO,11.4,3.91,13.5
ID_54469-102752,201361,BIO,18.0,6.17,13.5
ID_54477-102753,201361,NG (Natural Gas),7.7,3.4,8.037
ID_54517-102754,230541,BIO,7.5,2.57,13.5
ID_54561-102757,211211,NG (Natural Gas),27.0,11.93,8.037
ID_54567-102758,201361,BIO,2.8,0.96,13.5
ID_54626-102759,252891,BIO,62.0,21.25,13.5
ID_54689-102957,286671,GEO,62.5,6.86,9.54
ID_54724-102958,400041,GEO,24.0,2.63,9.54
ID_54749-102959,283651,NG (Natural Gas),51.4,22.7,8.037
ID_54768-102961,252891,NG (Natural Gas),46.0,20.32,8.037
