name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ID_50766-102274,geothermal,bus_400041,26.4,9.54,2.9,0.0,79.0,0.0,4.65,6.0,6.0
ID_50831-102571,biomass,bus_211211,3.0,13.5,1.03,5.41,9.0,36.0,2.8,7.0,7.0
ID_50837-102572,biomass,bus_253751,35.6,13.5,12.2,5.41,107.0,427.0,33.2,7.0,7.0
ID_50849-102573,ngcc,bus_211211,28.5,8.037,12.59,3.42,86.0,1368.0,13.87,1.0,3.0
ID_50850-102574,ngcc,bus_257141,30.8,8.037,13.6,3.42,92.0,1478.0,14.99,1.0,3.0
ID_50851-102575,ngcc,bus_258301,31.1,8.037,13.74,3.42,93.0,1493.0,15.13,1.0,3.0
ID_50864-102576,ngcc,bus_261331,38.2,8.037,16.87,3.42,115.0,1834.0,18.59,1.0,3.0
ID_50865-102577,ngcc,bus_261331,38.9,8.037,17.18,3.42,117.0,1867.0,18.93,1.0,3.0
ID_50876-102578,ngcc,bus_256751,30.7,8.037,13.56,3.42,92.0,1474.0,14.94,1.0,3.0
ID_50881-102579,biomass,bus_201361,54.9,13.5,18.81,5.41,165.0,659.0,51.2,7.0,7.0
ID_50963-102582,ngcc,bus_285491,5.3,8.037,2.34,3.42,16.0,254.0,2.58,1.0,3.0
ID_50964-102583,geothermal,bus_300011,3.0,9.54,0.33,0.0,9.0,0.0,0.53,6.0,6.0
ID_50985-102584,ngcc,bus_201361,2.8,8.037,1.24,3.42,8.0,134.0,1.36,1.0,3.0
ID_510-102585,geothermal,bus_211211,78.0,9.54,8.56,0.0,234.0,0.0,13.73,6.0,6.0
ID_52073-102586,ngcc,bus_251601,43.0,8.037,18.99,3.42,129.0,2064.0,20.92,1.0,3.0
ID_52076-102587,ngcc,bus_252891,12.0,8.037,5.3,3.42,36.0,576.0,5.84,1.0,3.0
ID_52077-102588,ngcc,bus_261331,10.5,8.037,4.64,3.42,32.0,504.0,5.11,1.0,3.0
ID_52078-102589,ngcc,bus_261331,10.5,8.037,4.64,3.42,32.0,504.0,5.11,1.0,3.0
ID_52081-102590,ngcc,bus_252891,6.8,8.037,3.0,3.42,20.0,326.0,3.31,1.0,3.0
